ID,Description,Entry_ID,Description_Language_ID,CHD_Candidate_ID,CHD_Authority_Status,CHD_Human_Verified
ORT1888-art-000191-s1,Heácari. Neti.,ORT1888-art-000191,crn,ORT1888-cand-000191,machine_derived,false
ORT1888-art-000192-s1,Huacuaitzá. Nacuaitza.,ORT1888-art-000192,crn,ORT1888-cand-000192,machine_derived,false
ORT1888-art-000193-s1,Aohamuezfc. Nete.,ORT1888-art-000193,crn,ORT1888-cand-000193,machine_derived,false
ORT1888-art-000194-s1,Autácatzi. Is,ORT1888-art-000194,crn,ORT1888-cand-000194,machine_derived,false
ORT1888-art-000195-s1,Nteacuáime. Nete.,ORT1888-art-000195,crn,ORT1888-cand-000195,machine_derived,false
ORT1888-art-000196-s1,Ketzimoarite Neteu.,ORT1888-art-000196,crn,ORT1888-cand-000196,machine_derived,false
ORT1888-art-000197-s1,Amaihna.,ORT1888-art-000197,crn,ORT1888-cand-000197,machine_derived,false
ORT1888-art-000198-s1,"Anái, Ahuí, Aipoc.",ORT1888-art-000198,crn,ORT1888-cand-000198,machine_derived,false
ORT1888-art-000199-s1,Tahcai.,ORT1888-art-000199,crn,ORT1888-cand-000199,machine_derived,false
ORT1888-art-000200-s1,Haxéihte. Neti.,ORT1888-art-000200,crn,ORT1888-cand-000200,machine_derived,false
ORT1888-art-000201-s1,Acate.,ORT1888-art-000201,crn,ORT1888-cand-000201,machine_derived,false
ORT1888-art-000202-s1,Huaác.,ORT1888-art-000202,crn,ORT1888-cand-000202,machine_derived,false
ORT1888-art-000203-s1,Vaehre Neti,ORT1888-art-000203,crn,ORT1888-cand-000203,machine_derived,false
ORT1888-art-000204-s1,Vaehreat.,ORT1888-art-000204,crn,ORT1888-cand-000204,machine_derived,false
ORT1888-art-000205-s1,"asi. ^-Tivaehrel) name, pl. tzi.",ORT1888-art-000205,crn,ORT1888-cand-000205,machine_derived,false
ORT1888-art-000206-s1,Taihri. Neteu.,ORT1888-art-000206,crn,ORT1888-cand-000206,machine_derived,false
ORT1888-art-000207-s1,Taihriat.,ORT1888-art-000207,crn,ORT1888-cand-000207,machine_derived,false
ORT1888-art-000208-s1,Vitzive. Nénit/íve.,ORT1888-art-000208,crn,ORT1888-cand-000208,machine_derived,false
ORT1888-art-000209-s1,>Vitzivehuame. ]>1. tzi.,ORT1888-art-000209,crn,ORT1888-cand-000209,machine_derived,false
ORT1888-art-000210-s1,Itziviat.,ORT1888-art-000210,crn,ORT1888-cand-000210,machine_derived,false
ORT1888-art-000211-s1,Tipiní. Ticutzí.,ORT1888-art-000211,crn,ORT1888-cand-000211,machine_derived,false
ORT1888-art-000212-s1,Anáti.,ORT1888-art-000212,crn,ORT1888-cand-000212,machine_derived,false
ORT1888-art-000213-s1,Tfaxcn. pl. te.,ORT1888-art-000213,crn,ORT1888-cand-000213,machine_derived,false
ORT1888-art-000214-s1,Euhriyaomoara. Euh,ORT1888-art-000214,crn,ORT1888-cand-000214,machine_derived,false
ORT1888-art-000215-s1,Negrita.,ORT1888-art-000215,crn,ORT1888-cand-000215,machine_derived,false
ORT1888-art-000216-s1,Necutatá.,ORT1888-art-000216,crn,ORT1888-cand-000216,machine_derived,false
ORT1888-art-000217-s1,Tepuzti.,ORT1888-art-000217,crn,ORT1888-cand-000217,machine_derived,false
ORT1888-art-000218-s1,Vbetat.,ORT1888-art-000218,crn,ORT1888-cand-000218,machine_derived,false
ORT1888-art-000219-s1,Taána. Neti.,ORT1888-art-000219,crn,ORT1888-cand-000219,machine_derived,false
ORT1888-art-000220-s1,Tet.,ORT1888-art-000220,crn,ORT1888-cand-000220,machine_derived,false
ORT1888-art-000221-s1,Teázeca.,ORT1888-art-000221,crn,ORT1888-cand-000221,machine_derived,false
ORT1888-art-000222-s1,Antiáze. N.,ORT1888-art-000222,crn,ORT1888-cand-000222,machine_derived,false
ORT1888-art-000223-s1,Téazim. Neti.. Teahpuazt.,ORT1888-art-000223,crn,ORT1888-cand-000223,machine_derived,false
ORT1888-art-000224-s1,Tézim. Neti. Tutuizem. Neti.,ORT1888-art-000224,crn,ORT1888-cand-000224,machine_derived,false
ORT1888-art-000225-s1,Team uva. Ne.,ORT1888-art-000225,crn,ORT1888-cand-000225,machine_derived,false
ORT1888-art-000226-s1,Teanava. Ne.,ORT1888-art-000226,crn,ORT1888-cand-000226,machine_derived,false
ORT1888-art-000227-s1,Vtea m un vé;,ORT1888-art-000227,crn,ORT1888-cand-000227,machine_derived,false
ORT1888-art-000228-s1,Uteainuavihnanie. pl. tzi.,ORT1888-art-000228,crn,ORT1888-cand-000228,machine_derived,false
